round,seeker_id,job_id,seeker_satisfaction,congestion_at_match,diversity_at_match,seeker_risk_aversion,seeker_fail_count
1,SEEKER_0000,JOB_0011,0.3010299956639812,0.021466878771068062,0.3333333333333333,0.2,0
1,SEEKER_0001,JOB_0014,0.3010299956639812,0.011610114582221834,1.0,0.2,0
1,SEEKER_0002,JOB_0018,0.6309297535714575,0.09099318276772811,0.3333333333333333,0.2,0
1,SEEKER_0009,JOB_0005,0.3333333333333333,0.0604293778328853,0.6666666666666666,0.2,0
1,SEEKER_0011,JOB_0009,0.3333333333333333,0.009869334187054038,0.16666666666666666,0.2,0
1,SEEKER_0015,JOB_0015,1.0,0.027960827568567898,0.0,0.2,0
1,SEEKER_0020,JOB_0003,0.43067655807339306,0.021466878771068062,0.16666666666666666,0.2,0
1,SEEKER_0021,JOB_0006,1.0,0.10915346010622715,0.3333333333333333,0.2,0
1,SEEKER_0023,JOB_0013,0.31546487678572877,0.04305049244187015,0.3333333333333333,0.2,0
1,SEEKER_0028,JOB_0008,0.3562071871080222,0.033675435510387826,0.16666666666666666,0.2,0
1,SEEKER_0029,JOB_0002,0.38685280723454163,0.07196961717359213,0.16666666666666666,0.2,0
1,SEEKER_0033,JOB_0001,1.0,0.1285484234426043,0.0,0.2,0
1,SEEKER_0034,JOB_0012,0.3562071871080222,0.009656652360515022,0.5,0.2,0
1,SEEKER_0036,JOB_0019,0.6309297535714575,0.0032188841201716742,0.6666666666666666,0.2,0
1,SEEKER_0037,JOB_0007,1.0,0.05930989542811613,0.0,0.2,0
1,SEEKER_0044,JOB_0017,1.0,0.1066647322958101,0.0,0.2,0
1,SEEKER_0046,JOB_0000,0.3333333333333333,0.02589651846579721,0.0,0.2,0
1,SEEKER_0047,JOB_0004,0.5,0.06668339969575025,0.16666666666666666,0.2,0
1,SEEKER_0048,JOB_0010,0.43067655807339306,0.06637829542686531,0.8333333333333334,0.2,0
1,SEEKER_0049,JOB_0016,0.31546487678572877,0.03199759905169937,0.16666666666666666,0.2,0
